step,t,tid,truth,subtype,x,y,pred,p_uav,threat,d_asset,reco,kill
4,8.0,T16,bird,조류,-1.2295066209187855,-3.880557530852496,새/기타,0.1,6.5,4.07,감시 지속,none
4,8.0,T17,balloon,고고도 미사일 풍선,-3.7483476881765405,1.0970601444483112,풍선,0.15,32.3,2.24,감시 지속,none
4,8.0,T18,bird,조류,-0.7962812299953744,-3.7724694473811042,새/기타,0.1,6.5,3.86,감시 지속,none
4,8.0,T19,bird,조류,1.0549738346622888,-3.8689310364417593,새/기타,0.1,6.5,4.01,감시 지속,none
5,10.0,T01,drone,고정익,2.92086607303358,2.7149817520726023,드론,0.95,83.8,1.77,물리 요격(최후수단),hard
5,10.0,T02,bird,조류,-4.2211203589001105,-0.7970416422292717,새/기타,0.1,25.5,3.98,감시 지속,none
5,10.0,T03,balloon,오물풍선,-0.5958959165941091,-3.7610532353502926,풍선,0.15,8.0,3.81,감시 지속,none
5,10.0,T04,balloon,고고도 미사일 풍선,-4.239769021852505,0.33450404777527076,풍선,0.15,8.0,3.12,감시 지속,none
5,10.0,T05,drone,자폭형(FPV),-3.6618671172322768,0.6112396626574617,드론,0.95,55.8,2.52,RF 재밍,soft
5,10.0,T06,bird,조류,-4.061272305543255,-2.279300698879696,새/기타,0.1,6.5,4.66,감시 지속,none
5,10.0,T07,balloon,오물풍선,3.208415628516247,-2.700412973494205,풍선,0.15,8.0,3.77,감시 지속,none
5,10.0,T08,bird,조류,-4.357171221145615,0.9788513469777103,새/기타,0.1,41.6,2.81,감시 지속,none
5,10.0,T09,balloon,고고도 미사일 풍선,-1.5423985476511604,4.504528639197932,풍선,0.15,53.5,2.06,포획·유도 회수,soft
5,10.0,T10,bird,조류,3.5157518637069787,-1.805315051803492,새/기타,0.1,37.4,2.98,감시 지속,none
5,10.0,T11,drone,고정익,3.6748555033576484,1.5302170785510374,드론,0.95,69.6,1.29,RF 재밍,soft
5,10.0,T12,drone,고정익,3.9462925918149145,1.958004439879776,드론,0.95,84.1,1.73,물리 요격(최후수단),hard
5,10.0,T13,drone,회전익(헬기형),3.3187702806046153,-2.7772732380925405,드론,0.95,54.0,3.86,RF 재밍,soft
5,10.0,T14,bird,조류,3.048911566634293,-2.8182871090463597,새/기타,0.1,6.5,3.86,감시 지속,none
5,10.0,T15,bird,조류,-0.11839497238024356,4.435298559965368,새/기타,0.1,43.5,2.7,감시 지속,none
5,10.0,T16,bird,조류,-1.3523626765208057,-3.8930931010667,새/기타,0.1,6.5,4.12,감시 지속,none
